Iter     Function value   Gradient norm 
     0    -3.152985e+00     3.229714e-03
 * time: 0.021578073501586914
    Energy Error: 0.09177930221116082

     1    -3.153012e+00     1.009303e-03
 * time: 12.03178095817566
     2    -3.153021e+00     8.587582e-04
 * time: 17.411848068237305
     3    -3.153032e+00     5.767798e-04
 * time: 22.91345500946045
     4    -3.153034e+00     8.299052e-04
 * time: 28.340837955474854
     5    -3.153037e+00     3.384096e-04
 * time: 33.771430015563965
     6    -3.153038e+00     3.540562e-04
 * time: 39.20971608161926
     7    -3.153039e+00     3.497951e-04
 * time: 44.70545506477356
     8    -3.153041e+00     3.344020e-04
 * time: 50.08381509780884
     9    -3.153042e+00     6.506581e-04
 * time: 55.56115388870239
    10    -3.153044e+00     2.116235e-04
 * time: 61.11896204948425
    11    -3.153045e+00     1.742391e-04
 * time: 66.53712201118469
    12    -3.153046e+00     1.731469e-04
 * time: 72.01739311218262
    13    -3.153047e+00     1.699535e-04
 * time: 77.39835095405579
    14    -3.153047e+00     3.610416e-04
 * time: 82.90223288536072
    15    -3.153048e+00     1.662658e-04
 * time: 88.29234004020691
    16    -3.153049e+00     1.511632e-04
 * time: 93.74875092506409
    17    -3.153049e+00     1.556158e-04
 * time: 99.29699492454529
    18    -3.153050e+00     3.579033e-04
 * time: 104.75792694091797
    19    -3.153051e+00     2.117102e-04
 * time: 110.12919497489929
    20    -3.153052e+00     1.628660e-04
 * time: 115.5759859085083
    21    -3.153053e+00     2.088266e-04
 * time: 121.10166096687317
    22    -3.153054e+00     1.925538e-04
 * time: 126.50710606575012
    23    -3.153055e+00     2.165373e-04
 * time: 131.97952389717102
    24    -3.153056e+00     4.030739e-04
 * time: 142.9099190235138
    25    -3.153057e+00     1.966883e-04
 * time: 148.25702500343323
    Energy Error: 0.09170705354742692

    26    -3.153058e+00     1.933646e-04
 * time: 153.720477104187
    27    -3.153059e+00     2.064882e-04
 * time: 159.25343990325928
    28    -3.153061e+00     2.804573e-04
 * time: 164.66154599189758
    29    -3.153063e+00     2.732414e-04
 * time: 170.15223002433777
    30    -3.153067e+00     3.857254e-04
 * time: 175.59805393218994
    31    -3.153069e+00     8.268354e-04
 * time: 181.14243507385254
    32    -3.153074e+00     4.091728e-04
 * time: 186.50205612182617
    33    -3.153077e+00     3.484189e-04
 * time: 191.96403288841248
    34    -3.153082e+00     5.936233e-04
 * time: 197.51473999023438
    35    -3.153093e+00     7.659317e-04
 * time: 202.9360740184784
    36    -3.153108e+00     1.814438e-03
 * time: 208.42677092552185
    37    -3.153123e+00     1.732044e-03
 * time: 213.89028406143188
    38    -3.153148e+00     1.683524e-03
 * time: 219.43417096138
    39    -3.153180e+00     1.450074e-03
 * time: 224.79883193969727
    40    -3.153199e+00     1.161966e-03
 * time: 230.22796511650085
    41    -3.153230e+00     1.310317e-03
 * time: 235.67883396148682
    42    -3.153260e+00     1.366346e-03
 * time: 241.21263194084167
    43    -3.153281e+00     1.473974e-03
 * time: 246.57299709320068
    44    -3.153320e+00     2.192911e-03
 * time: 251.997309923172
    45    -3.153353e+00     1.580604e-03
 * time: 257.51956701278687
    46    -3.153387e+00     1.855333e-03
 * time: 262.93360209465027
    47    -3.153419e+00     1.384250e-03
 * time: 268.3877580165863
    48    -3.153449e+00     1.091477e-03
 * time: 273.8169219493866
    49    -3.153472e+00     1.475940e-03
 * time: 279.3025848865509
    50    -3.153508e+00     1.311409e-03
 * time: 284.6678841114044
    Energy Error: 0.09125598803677537

