RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          284     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   61   68     1     0  con    0  1.0D+00  1.9D-02  1.250D-01 -7.787D+00
   62   69     1     0  con    0  1.0D+00  1.8D-02  1.095D-01 -7.787D+00
   63   70     1     0  con    0  1.0D+00  2.1D-03  5.724D-02 -7.787D+00
   64   71     1     0  con    0  1.0D+00  3.9D-03  5.730D-02 -7.787D+00
   65   72     1     0  con    0  1.0D+00  1.5D-02  1.161D-01 -7.787D+00
   66   73     1     0  con    0  1.0D+00  2.3D-02  1.100D-01 -7.787D+00
   67   74     1     0  con    0  1.0D+00  1.3D-02  5.557D-02 -7.788D+00
   68   75     1     0  con    0  1.0D+00  1.9D-02  1.042D-01 -7.788D+00
   69   76     1     0  con    0  1.0D+00  2.0D-02  5.223D-02 -7.788D+00
   70   77     1     0  con    0  1.0D+00  7.1D-03  2.159D-02 -7.788D+00
   71   78     1     0  con    0  1.0D+00  2.5D-02  4.785D-02 -7.788D+00
   72   79     1     0  con    0  1.0D+00  1.9D-02  1.694D-01 -7.789D+00
   73   81     1     0  con    1  3.2D-01  7.1D-03  1.759D-01 -7.789D+00
   74   82     1     0  con    0  1.0D+00  3.4D-03  8.469D-02 -7.789D+00
   75   83     1     0  con    0  1.0D+00  6.3D-03  3.280D-02 -7.789D+00
   76   84     1     0  con    0  1.0D+00  3.2D-03  5.403D-02 -7.789D+00
   77   85     1     0  con    0  1.0D+00  2.5D-03  3.034D-02 -7.789D+00
   78   86     1     0  con    0  1.0D+00  1.4D-02  3.874D-02 -7.789D+00
   79   87     1     0  con    0  1.0D+00  1.2D-02  6.323D-02 -7.789D+00
   80   89     1     0  con    1  4.1D-01  1.3D-02  1.115D-01 -7.789D+00
   81   90     1     0  con    0  1.0D+00  1.2D-02  3.096D-02 -7.789D+00
   82   91     1     0  con    0  1.0D+00  3.3D-03  3.707D-02 -7.790D+00
   83   92     1     0  con    0  1.0D+00  6.4D-03  3.914D-02 -7.790D+00
   84   93     1     0  con    0  1.0D+00  1.7D-02  9.700D-02 -7.790D+00
   85   94     1     0  con    0  1.0D+00  3.7D-02  1.075D-01 -7.790D+00
   86   95     1     0  con    0  1.0D+00  1.2D-02  8.068D-02 -7.790D+00
   87   96     1     0  con    0  1.0D+00  5.2D-03  6.065D-02 -7.790D+00
   88   97     1     0  con    0  1.0D+00  5.9D-03  1.401D-01 -7.790D+00
   89   98     1     0  con    0  1.0D+00  4.3D-03  5.357D-02 -7.790D+00
   90   99     1     0  con    0  1.0D+00  2.9D-03  5.391D-02 -7.790D+00
   91  100     1     0  con    0  1.0D+00  1.5D-02  9.200D-02 -7.790D+00
   92  101     1     0  bnd    0  1.0D+00  1.9D-02  1.311D-01 -7.791D+00
   93  102     1     1  bnd    0  1.0D+00  4.2D-02  9.659D-02 -7.791D+00
