Iter     Function value   Gradient norm 
     0    -2.124260e+00     2.172089e-02
 * time: 0.022027969360351562
    Energy Error: 0.05605687535100712

     1    -2.126116e+00     1.137641e-02
 * time: 6.613524913787842
     2    -2.126859e+00     9.894743e-03
 * time: 9.27197003364563
     3    -2.127617e+00     6.953827e-03
 * time: 11.971043825149536
     4    -2.128368e+00     6.946569e-03
 * time: 14.634433031082153
     5    -2.129213e+00     1.103798e-02
 * time: 17.326565980911255
     6    -2.129812e+00     7.205494e-03
 * time: 20.058900833129883
     7    -2.130332e+00     6.626677e-03
 * time: 22.70865488052368
     8    -2.130852e+00     6.157981e-03
 * time: 25.37663197517395
     9    -2.131591e+00     9.357791e-03
 * time: 28.011215925216675
    10    -2.131760e+00     8.070347e-02
 * time: 30.66722083091736
    11    -2.132446e+00     2.239417e-02
 * time: 33.35174894332886
    12    -2.132576e+00     4.259257e-03
 * time: 35.9925799369812
    13    -2.132678e+00     2.922374e-03
 * time: 38.672040939331055
    14    -2.132837e+00     9.754581e-03
 * time: 41.364569902420044
    15    -2.133038e+00     9.920099e-03
 * time: 44.06170296669006
    16    -2.133188e+00     3.485733e-03
 * time: 46.77907991409302
    17    -2.133299e+00     3.717935e-03
 * time: 49.452287912368774
    18    -2.133411e+00     6.469623e-03
 * time: 52.13717198371887
    19    -2.133585e+00     5.618898e-03
 * time: 54.86592698097229
    20    -2.133778e+00     3.654804e-03
 * time: 57.58433985710144
    21    -2.133976e+00     1.048124e-02
 * time: 60.280274868011475
    22    -2.134095e+00     1.870492e-02
 * time: 62.977221965789795
    23    -2.134238e+00     4.821405e-03
 * time: 65.63196301460266
    24    -2.134372e+00     4.936350e-03
 * time: 68.3183798789978
    25    -2.134413e+00     5.955583e-03
 * time: 92.57210397720337
    Energy Error: 0.045894257380439285

    26    -2.134600e+00     6.977869e-03
 * time: 98.00102090835571
    27    -2.134744e+00     2.396783e-02
 * time: 100.74892091751099
    28    -2.134890e+00     1.553655e-02
 * time: 103.49304699897766
    29    -2.134982e+00     6.031706e-03
 * time: 106.25255084037781
    30    -2.134987e+00     6.220320e-03
 * time: 117.00062704086304
    31    -2.135046e+00     1.324222e-02
 * time: 119.75152587890625
    32    -2.135159e+00     1.521213e-02
 * time: 122.48901700973511
    33    -2.135185e+00     1.398183e-02
 * time: 125.26162695884705
    34    -2.135391e+00     1.098018e-02
 * time: 127.99570488929749
    35    -2.135640e+00     1.582133e-02
 * time: 130.76309204101562
    36    -2.135766e+00     2.826123e-02
 * time: 136.2425389289856
    37    -2.135925e+00     1.650042e-02
 * time: 138.96169304847717
    38    -2.136010e+00     1.091707e-02
 * time: 141.67561793327332
    39    -2.136089e+00     8.536237e-03
 * time: 144.37119889259338
    40    -2.136226e+00     1.065931e-02
 * time: 147.12010788917542
    41    -2.136376e+00     1.936138e-02
