Iter     Function value   Gradient norm 
     0    -3.152985e+00     3.946540e-03
 * time: 0.021625995635986328
    Energy Error: 0.09177930221110397

     1    -3.153054e+00     2.602813e-03
 * time: 70.73346614837646
     2    -3.153088e+00     1.471653e-03
 * time: 106.48345112800598
     3    -3.153108e+00     7.910554e-04
 * time: 142.228196144104
     4    -3.153117e+00     7.926479e-04
 * time: 177.62704205513
     5    -3.153124e+00     6.817097e-04
 * time: 213.08708810806274
     6    -3.153144e+00     6.761966e-04
 * time: 248.24257612228394
     7    -3.153151e+00     1.550654e-03
 * time: 283.97231101989746
     8    -3.153165e+00     8.103768e-04
 * time: 319.5038640499115
     9    -3.153175e+00     6.717799e-04
 * time: 355.14751410484314
    10    -3.153184e+00     6.369697e-04
 * time: 390.86909103393555
    11    -3.153195e+00     1.253204e-03
 * time: 426.4412760734558
    12    -3.153209e+00     6.902111e-04
 * time: 462.17103099823
    13    -3.153226e+00     6.954378e-04
 * time: 497.9682660102844
    14    -3.153237e+00     5.648791e-04
 * time: 533.4625389575958
    15    -3.153250e+00     1.505877e-03
 * time: 568.9907360076904
    16    -3.153260e+00     8.785738e-04
 * time: 604.5357990264893
    17    -3.153265e+00     4.769444e-04
 * time: 639.9826471805573
    18    -3.153272e+00     6.813602e-04
 * time: 675.720715045929
    19    -3.153280e+00     1.153865e-03
 * time: 711.2285220623016
    20    -3.153291e+00     8.717065e-04
 * time: 746.8082811832428
    21    -3.153303e+00     1.284120e-03
 * time: 782.2863919734955
    22    -3.153323e+00     1.012924e-03
 * time: 817.8230140209198
    23    -3.153335e+00     3.743115e-03
 * time: 853.2968020439148
    24    -3.153350e+00     1.461052e-03
 * time: 888.7840890884399
    25    -3.153363e+00     1.637873e-03
 * time: 924.2801940441132
    Energy Error: 0.09140064472595455

    26    -3.153375e+00     2.918414e-03
 * time: 959.8150999546051
    27    -3.153394e+00     4.057936e-03
 * time: 995.2731120586395
    28    -3.153413e+00     1.817865e-03
 * time: 1030.992180109024
    29    -3.153429e+00     2.857827e-03
 * time: 1066.533275127411
    30    -3.153447e+00     2.048146e-03
 * time: 1102.016191959381
    31    -3.153479e+00     8.456528e-03
 * time: 1137.6981580257416
    32    -3.153516e+00     4.658691e-03
 * time: 1173.368152141571
    33    -3.153560e+00     5.214916e-03
 * time: 1209.0782120227814
    34    -3.153636e+00     7.304821e-03
 * time: 1244.7173030376434
    35    -3.153734e+00     1.565233e-02
 * time: 1280.3271920681
    36    -3.153812e+00     2.940898e-02
 * time: 1315.9483160972595
    37    -3.153929e+00     5.793295e-03
 * time: 1351.724040031433
    38    -3.154022e+00     1.100146e-02
 * time: 1387.499850988388
    39    -3.154108e+00     1.734253e-02
 * time: 1423.2878170013428
    40    -3.154240e+00     3.588447e-03
 * time: 1459.2260739803314
    41    -3.154411e+00     1.044457e-02
 * time: 1494.9354310035706
    42    -3.154528e+00     3.256382e-02
 * time: 1530.5860030651093
    43    -3.154639e+00     1.147112e-02
 * time: 1566.271667957306
    44    -3.154763e+00     8.949634e-03
 * time: 1601.733502149582
    45    -3.154889e+00     1.717309e-02
 * time: 1637.3307211399078
    46    -3.155061e+00     2.486763e-02
 * time: 1672.9392080307007
    47    -3.155168e+00     2.916534e-02
 * time: 1708.4429280757904
    48    -3.155283e+00     8.515053e-03
 * time: 1744.0563280582428
    49    -3.155392e+00     1.676709e-02
 * time: 1779.4607520103455
    50    -3.155444e+00     4.065126e-02
 * time: 1815.1367599964142
    Energy Error: 0.08932024737477917

    51    -3.155505e+00     1.185208e-02
 * time: 1850.6035740375519
    52    -3.155564e+00     7.876047e-03
