Iter     Function value   Gradient norm 
     0    -2.151465e+00     1.041013e-01
 * time: 0.021445035934448242
    Energy Error: 0.028851848173139683

     1    -2.151495e+00     3.725567e-02
 * time: 58.80317783355713
     2    -2.151542e+00     2.554672e-02
 * time: 97.20948386192322
     3    -2.151727e+00     5.388508e-02
 * time: 116.40110397338867
     4    -2.151865e+00     4.169788e-02
 * time: 135.61816883087158
     5    -2.151926e+00     6.893289e-02
 * time: 154.82726788520813
     6    -2.151976e+00     4.977070e-02
 * time: 174.1018500328064
     7    -2.152136e+00     2.675633e-02
 * time: 193.4654679298401
     8    -2.152209e+00     2.467119e-02
 * time: 212.74113392829895
     9    -2.152418e+00     3.617489e-02
 * time: 231.99606204032898
    10    -2.152539e+00     6.343286e-02
 * time: 270.72039699554443
    11    -2.152672e+00     3.232758e-02
 * time: 289.96480989456177
    12    -2.152767e+00     8.915871e-02
 * time: 309.23343896865845
    13    -2.152814e+00     6.630033e-02
 * time: 347.9171988964081
    14    -2.152856e+00     3.751824e-02
 * time: 367.18592500686646
    15    -2.152944e+00     4.495632e-02
 * time: 386.444219827652
    16    -2.153022e+00     4.308063e-02
 * time: 405.71522784233093
    17    -2.153172e+00     1.064003e-01
 * time: 424.94662499427795
    18    -2.153255e+00     4.752584e-02
 * time: 463.5926148891449
    19    -2.153314e+00     1.648182e-02
 * time: 482.82303500175476
    20    -2.153368e+00     2.353408e-02
 * time: 502.0430178642273
    21    -2.153441e+00     2.741209e-02
 * time: 521.2627439498901
    22    -2.153596e+00     4.933067e-02
 * time: 540.495757818222
    23    -2.153665e+00     7.846732e-02
 * time: 579.129166841507
    24    -2.153790e+00     9.396690e-02
 * time: 598.3554058074951
    25    -2.153866e+00     8.128942e-02
 * time: 636.7870888710022
    Energy Error: 0.026450454037240334

    26    -2.153941e+00     4.518948e-02
 * time: 656.0161550045013
    27    -2.154079e+00     2.566092e-02
 * time: 675.2099030017853
    28    -2.154261e+00     4.527827e-02
 * time: 694.3997809886932
    29    -2.154480e+00     5.431531e-02
 * time: 713.6229648590088
    30    -2.154568e+00     5.472178e-02
 * time: 752.0495638847351
    31    -2.154662e+00     4.943016e-02
 * time: 771.4641418457031
    32    -2.154723e+00     1.246806e-02
 * time: 790.697744846344
    33    -2.154785e+00     3.142643e-02
 * time: 809.9209318161011
    34    -2.154935e+00     3.320050e-02
 * time: 829.1101849079132
    35    -2.155108e+00     4.429355e-02
 * time: 848.2435839176178
    36    -2.155152e+00     1.113415e-01
 * time: 886.4302589893341
    37    -2.155218e+00     4.512739e-02
 * time: 905.7008118629456
    38    -2.155272e+00     1.888477e-02
 * time: 924.7845230102539
    39    -2.155310e+00     2.440524e-02
 * time: 943.853789806366
    40    -2.155390e+00     3.404674e-02
 * time: 962.8592798709869
    41    -2.155535e+00     5.169274e-02
 * time: 981.8606688976288
    42    -2.155577e+00     1.267958e-01
 * time: 1000.8422310352325
    43    -2.155796e+00     6.939679e-02
 * time: 1020.0712699890137
    44    -2.155880e+00     3.094406e-02
 * time: 1039.1014490127563
    45    -2.155991e+00     5.153735e-02
 * time: 1058.1131739616394
    46    -2.156135e+00     8.361511e-02
 * time: 1077.125744819641
    47    -2.156313e+00     8.443372e-02
 * time: 1096.1138880252838
    48    -2.156346e+00     1.117377e-01
 * time: 1134.3116428852081
    49    -2.156485e+00     5.103423e-02
 * time: 1153.3255009651184
    50    -2.156598e+00     1.717789e-02
 * time: 1172.5731418132782
    Energy Error: 0.023718414458954395

    51    -2.156750e+00     2.573190e-02
 * time: 1191.8101189136505
    52    -2.156917e+00     6.230076e-02
 * time: 1211.2268438339233
    53    -2.157107e+00     4.386677e-02
 * time: 1230.4356129169464
    54    -2.157241e+00     3.816738e-02
 * time: 1249.683954000473
    55    -2.157279e+00     9.454414e-02
 * time: 1268.8908660411835
    56    -2.157338e+00     2.967956e-02
 * time: 1288.3465819358826
    57    -2.157368e+00     1.102621e-02
 * time: 1307.5767059326172
    58    -2.157461e+00     4.714872e-02
 * time: 1326.7659158706665
    59    -2.157539e+00     1.266452e-01
 * time: 1345.9921278953552
    60    -2.157558e+00     2.208616e-01
 * time: 1365.2497208118439
    61    -2.157632e+00     2.543093e-02
 * time: 1384.4647688865662
    62    -2.157651e+00     2.224289e-02
 * time: 1403.6858868598938
    63    -2.157690e+00     6.932650e-02
 * time: 1422.8942849636078
    64    -2.157760e+00     9.793825e-02
 * time: 1442.2602908611298
    65    -2.157896e+00     1.053869e-01
 * time: 1461.4980068206787
    66    -2.158062e+00     1.375071e-01
 * time: 1480.7276530265808
    67    -2.158240e+00     1.106578e-01
 * time: 1499.9482560157776
    68    -2.158331e+00     3.739331e-02
 * time: 1519.1290500164032
    69    -2.158386e+00     4.696666e-02
 * time: 1538.3475878238678
    70    -2.158425e+00     8.927062e-02
 * time: 1557.559664964676
    71    -2.158518e+00     1.037409e-01
 * time: 1576.7648878097534
    72    -2.158550e+00     2.082366e-01
 * time: 1615.1432988643646
    73    -2.158633e+00     1.071945e-01
 * time: 1634.5180490016937
    74    -2.158689e+00     2.489937e-02
 * time: 1653.7232739925385
    75    -2.158732e+00     5.414802e-02
 * time: 1672.90984582901
    Energy Error: 0.02158430450255988

    76    -2.158785e+00     7.742422e-02
 * time: 1692.0800278186798
    77    -2.158930e+00     1.066497e-01
 * time: 1711.253702878952
    78    -2.159002e+00     7.489471e-02
 * time: 1749.7889168262482
    79    -2.159128e+00     2.524394e-02
 * time: 1768.937227010727
    80    -2.159243e+00     3.100422e-02
 * time: 1788.1027410030365
    81    -2.159381e+00     1.179115e-01
 * time: 1807.247517824173
    82    -2.159521e+00     6.590165e-02
 * time: 1826.3966858386993
    83    -2.159590e+00     3.840055e-02
 * time: 1845.7488479614258
    84    -2.159731e+00     3.608288e-02
 * time: 1864.8963420391083
    85    -2.159766e+00     1.289651e-01
 * time: 1903.1191539764404
    86    -2.159843e+00     5.936903e-02
 * time: 1922.2606399059296
    87    -2.159921e+00     2.758036e-02
 * time: 1941.4253900051117
    88    -2.159989e+00     5.769042e-02
 * time: 1960.6059198379517
    89    -2.160066e+00     4.429834e-02
 * time: 1979.7633600234985
    90    -2.160145e+00     9.876218e-02
 * time: 1998.9368228912354
    91    -2.160244e+00     6.204124e-02
 * time: 2018.301856994629
    92    -2.160476e+00     4.580636e-02
 * time: 2037.6874418258667
    93    -2.160572e+00     6.564868e-02
 * time: 2056.8774309158325
    94    -2.160688e+00     5.758010e-02
 * time: 2076.0926389694214
    95    -2.160791e+00     1.031339e-01
 * time: 2095.4320719242096
    96    -2.160913e+00     7.191248e-02
 * time: 2114.583281993866
    97    -2.161079e+00     1.116821e-01
 * time: 2133.721302986145
    98    -2.161111e+00     2.788803e-02
 * time: 2172.1972739696503
    99    -2.161135e+00     2.310447e-02
 * time: 2191.5544140338898
   100    -2.161220e+00     3.396156e-02
 * time: 2210.697240829468
    Energy Error: 0.019096329767644526

    Energy Error: 0.019096329767644526

